 2017-02-04 17:22:55,302 [P9456/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.7 application starting on NINIBZMEN76F7
 2017-02-04 17:22:55,324 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-02-04 17:22:55,348 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 22ms)
 2017-02-04 17:22:55,439 [P9456/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-02-04 17:22:55,440 [P9456/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-02-04 17:22:55,446 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-02-04 17:22:55,818 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 371ms)
 2017-02-04 17:22:55,842 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-02-04 17:22:55,865 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 23ms)
 2017-02-04 17:22:55,865 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-02-04 17:22:55,884 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 18ms)
 2017-02-04 17:22:55,904 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-02-04 17:22:55,924 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 20ms)
 2017-02-04 17:22:55,925 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-02-04 17:22:55,945 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 20ms)
 2017-02-04 17:22:55,951 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-02-04 17:22:55,962 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 10ms)
 2017-02-04 17:22:55,964 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-02-04 17:22:55,977 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 12ms)
 2017-02-04 17:22:57,198 [P9456/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-02-04 17:22:57,339 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Models.PublishedContent.PublishedContentModel
 2017-02-04 17:22:57,355 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Models.PublishedContent.PublishedContentModel, found 0 (took 16ms)
 2017-02-04 17:22:57,415 [P9456/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-02-04 17:22:57,431 [P9456/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-02-04 17:22:57,508 [P9456/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-02-04 17:22:57,540 [P9456/D2/T1] INFO  umbraco.content - Load Xml from file...
 2017-02-04 17:22:57,545 [P9456/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2017-02-04 17:22:58,130 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-02-04 17:22:58,159 [P9456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 28ms)
 2017-02-04 17:23:00,027 [P9456/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 4806ms)
 2017-02-04 17:23:00,311 [P9456/D2/T9] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:4067/umbraco (UmbracoModule request)
 2017-02-04 17:23:01,103 [P9456/D2/T9] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-02-04 17:23:01,130 [P9456/D2/T9] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 27ms)
 2017-02-04 17:23:19,295 [P9456/D2/T9] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2017-02-04 17:23:19,426 [P9456/D2/T9] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 131ms)
 2017-02-04 17:23:19,517 [P9456/D2/T11] INFO  UmbracoExamine.DataServices.UmbracoLogService - Field "email" is listed multiple times in the index set "InternalMemberIndexSet". Please ensure all names are unique, Provider=InternalMemberIndexer, NodeId=1068
 2017-02-04 17:23:19,532 [P9456/D2/T11] INFO  UmbracoExamine.DataServices.UmbracoLogService - Field "email" is listed multiple times in the index set "InternalMemberIndexSet". Please ensure all names are unique, Provider=InternalMemberIndexer, NodeId=1068
 2017-02-04 17:23:20,969 [P9456/D2/T9] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-02-04 17:24:00,552 [P9456/D2/T15] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2017-02-03 17:24:00
 2017-02-04 17:32:34,854 [P9456/D2/T36] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-02-04 17:32:34,881 [P9456/D2/T36] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 27ms)
 2017-02-04 17:32:34,965 [P9456/D2/T38] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2017-02-04 17:32:35,063 [P9456/D2/T38] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 98ms)
 2017-02-04 17:32:35,075 [P9456/D2/T38] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-02-04 17:32:35,075 [P9456/D2/T38] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2017-02-04 17:32:35,077 [P9456/D2/T38] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2017-02-04 17:32:35,137 [P9456/D2/T38] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 60ms)
 2017-02-04 17:32:35,173 [P9456/D2/T38] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2017-02-04 17:32:35,305 [P9456/D2/T38] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 131ms)
 2017-02-04 17:33:23,042 [P9456/D2/T39] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Övrigt' with Id '1073' has been published.
 2017-02-04 17:33:27,267 [P9456/D2/T10] INFO  umbraco.content - Save Xml to file...
 2017-02-04 17:33:27,283 [P9456/D2/T10] INFO  umbraco.content - Saved Xml to file.
 2017-02-04 17:36:00,407 [P9072/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.7 application starting on NINIBZMEN76F7
 2017-02-04 17:36:00,428 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-02-04 17:36:00,459 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 31ms)
 2017-02-04 17:36:00,524 [P9072/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-02-04 17:36:00,525 [P9072/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-02-04 17:36:00,539 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-02-04 17:36:00,559 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 20ms)
 2017-02-04 17:36:00,598 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-02-04 17:36:00,599 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
 2017-02-04 17:36:00,599 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-02-04 17:36:00,601 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 2ms)
 2017-02-04 17:36:00,615 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-02-04 17:36:00,618 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 2ms)
 2017-02-04 17:36:00,618 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-02-04 17:36:00,640 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 21ms)
 2017-02-04 17:36:00,647 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-02-04 17:36:00,648 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2017-02-04 17:36:00,649 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-02-04 17:36:00,649 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2017-02-04 17:36:02,086 [P9072/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-02-04 17:36:02,295 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Models.PublishedContent.PublishedContentModel
 2017-02-04 17:36:02,297 [P9072/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Models.PublishedContent.PublishedContentModel, found 0 (took 1ms)
 2017-02-04 17:36:02,406 [P9072/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-02-04 17:36:02,427 [P9072/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-02-04 17:36:02,519 [P9072/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-02-04 17:36:02,573 [P9072/D2/T1] INFO  umbraco.content - Load Xml from file...
 2017-02-04 17:36:02,579 [P9072/D2/T1] INFO  umbraco.content - Loaded Xml from file.
